Importance,Markers
0.0012782476446602667,Glutathione S-Transferase alpha (GST-alp (ng/ml)
0.0012524650293460682,Monocyte Chemotactic Protein 2 (MCP-2) (pg/ml)
0.0012129463448866176,Interleukin-8 (IL-8) (pg/mL)
0.0011998116851533267,Epidermal Growth Factor Receptor (EGFR) (ng/mL)
0.0011934800191029465,Interferon gamma Induced Protein 10 (IP- (pg/ml)
0.0011498342378463782,Heparin-Binding EGF-Like Growth Factor ( (pg/mL)
0.0010898472695087143,Pulmonary and Activation-Regulated Chemo (ng/mL)
0.001079539708668712,Adiponectin (ug/mL)
0.001075265314018015,CD5 (CD5L) (ng/ml)
0.0010460841927642933,Chromogranin-A (CgA) (ng/mL)
0.0010393112027244102,Brain Natriuretic Peptide  (BNP) (pg/ml)
0.0010273332530725855,Ferritin (FRTN) (ng/mL)
0.001015653744183376,Proinsulin- Total (pM)
0.0010118721141236353,Insulin-like Growth Factor-Binding Prote (ng/mL)
0.00099778811003426,Interleukin-18 (IL-18) (pg/mL)
0.0009712121838343821,Proinsulin- Intact (pM)
0.0009661969860200765,Apolipoprotein H (Apo H) (ug/mL)
0.0009646761166965366,Macrophage Inflammatory Protein-1 beta ( (pg/mL)
0.0009624628666959048,Myeloperoxidase (MPO) (ng/mL)
0.000957338975076995,Serotransferrin (Transferrin) (mg/dl)
0.0009524939659556575,Interleukin-16 (IL-16) (pg/mL)
0.000947158414136553,C-peptide (ng/ml)
0.000945336799793425,Insulin (uIU/mL)
0.0009396354283084871,Sortilin (ng/mL)
0.0009327200857015739,Neuronal Cell Adhesion Molecule (Nr-CAM) (ng/mL)
0.0009060522142070649,Fibrinogen (mg/mL)
0.0008996118180139148,Kidney Injury Molecule-1  (KIM-1) (ng/ml)
0.0008835510911039966,C-Reactive Protein (CRP) (ug/mL)
0.000879268261685979,Macrophage-Derived Chemokine (MDC) (pg/mL)
0.0008680836330282058,Chemokine CC-4 (HCC-4) (ng/mL)
0.0008677055202568168,Apolipoprotein A-IV (Apo A-IV) (ug/ml)
0.0008659229681159738,Osteopontin (ng/ml)
0.0008610613144312199,Apolipoprotein A-I (Apo A-I) (mg/mL)
0.0008508927691419637,Alpha-Fetoprotein (AFP) (ng/mL)
0.0008483618422087966,Thyroxine-Binding Globulin (TBG) (ug/mL)
0.0008463567062261008,Angiopoietin-2 (ANG-2) (ng/mL)
0.0008386276615190853,Apolipoprotein D (Apo D) (ug/ml)
0.0008298243562083695,Eotaxin-1 (pg/mL)
0.000828954664574064,Complement Factor H (ug/ml)
0.0008245178687701763,Thymus-Expressed Chemokine (TECK) (ng/mL)
0.0008171104427569692,Apolipoprotein E (Apo E) (ug/ml)
0.000812928264676286,Cancer Antigen 19-9 (CA-19-9) (U/mL)
0.0008047173561876405,Alpha-1-Antichymotrypsin (AACT) (ug/ml)
0.0008014097578955932,von Willebrand Factor (vWF) (ug/mL)
0.000800362482857276,Testosterone- Total (ng/ml)
0.0007938516334862816,Apolipoprotein A-II (Apo A-II) (ng/ml)
0.0007926726367353282,Peptide YY (PYY) (pg/mL)
0.0007908829671005263,Prolactin (PRL) (ng/ml)
0.0007892804688990638,Receptor for advanced glycosylation end (ng/mL)
0.0007883404343909788,Follicle-Stimulating Hormone (FSH) (mIU/mL)
0.0007843591894871486,Growth Hormone (GH) (ng/mL)
0.0007805631856090146,Apolipoprotein B (Apo B) (ug/ml)
0.0007618858764885739,Serum Glutamic Oxaloacetic Transaminase (ug/mL)
0.0007456981217759611,Interleukin-13 (IL-13) (pg/mL)
0.000744007948070683,Thyroid-Stimulating Hormone  (TSH) (uIU/mL)
0.0007378327463703003,Interleukin-6 receptor (IL-6r) (ng/mL)
0.0007377650397228465,Fetuin-A (ug/ml)
0.000726814569773933,Tenascin-C (TN-C) (ng/mL)
0.0007123837254256924,T Lymphocyte-Secreted Protein I-309 (I-3 (pg/mL)
0.0007096275218037782,Matrix Metalloproteinase-10 (MMP-10) (ng/ml)
0.00070821749881144,Macrophage Inflammatory Protein-3 alpha (pg/ml)
0.0007075906615014426,Carcinoembryonic Antigen (CEA) (ng/mL)
0.0007053610184985069,Leptin (ng/mL)
0.0006989338391827877,Creatine Kinase-MB (CK-MB) (ng/mL)
0.0006921375995778762,Luteinizing Hormone  (LH) (mIU/mL)
0.0006823997564594064,E-Selectin (ng/mL)
0.000679009564458509,Angiotensin-Converting Enzyme (ACE) (ng/ml)
0.0006708817190304011,Apolipoprotein C-III (Apo C-III) (ug/mL)
0.0006698931581451735,Haptoglobin (mg/mL)
0.0006647300421544585,Transthyretin (TTR) (mg/dl)
0.0006631291642649822,Clusterin (CLU) (ug/ml)
0.0006571385622742455,Immunoglobulin A (IgA) (mg/mL)
0.0006550469336770755,Cortisol (Cortisol) (ng/ml)
0.0006541043090916882,Monocyte Chemotactic Protein 1 (MCP-1) (pg/mL)
0.0006503756373527454,Angiotensinogen (ng/mL)
0.0006478844073396025,Fas Ligand (FasL) (pg/mL)
0.0006367697164555359,Matrix Metalloproteinase-9- total (MMP-9 (ng/ml)
0.0006158022560737936,Matrix Metalloproteinase-1 (MMP-1) (ng/ml)
0.000615056799745049,Immunoglobulin E (IgE) (ng/mL)
0.0006086747052993886,Immunoglobulin M (IGM) (mg/mL)
0.0006023638264693946,Placenta Growth Factor (PLGF) (pg/ml)
0.0006016195645087762,Tumor Necrosis Factor alpha (TNF-alpha) (pg/mL)
0.0005980621597770963,Sex Hormone-Binding Globulin (SHBG) (nmol/L)
0.0005876316299280659,B Lymphocyte Chemoattractant (BLC) (pg/ml)
0.0005694220549587822,Monocyte Chemotactic Protein 4 (MCP-4) (pg/ml)
0.0005665969329854973,Bone Morphogenetic Protein 6 (BMP-6) (ng/mL)
0.0005480167445076551,Intercellular Adhesion Molecule 1 (ICAM- (ng/mL)
0.0005420404399843832,Matrix Metalloproteinase-9 (MMP-9) (ng/mL)
0.0005383660223310487,Apolipoprotein C-I (Apo C-I) (ng/ml)
0.0005352364530496279,Apolipoprotein(a) (Lp(a)) (ug/mL)
0.0005344431393297003,Macrophage Inflammatory Protein-1 alpha (pg/mL)
0.0005248992563413235,Pancreatic Polypeptide (PPP) (pg/ml)
0.0005210306705886731,Monocyte Chemotactic Protein 3 (MCP-3) (pg/mL)
0.0005018986608437293,Factor VII (ng/mL)
0.0004595560167338882,Betacellulin (BTC) (pg/mL)
0.00045511195975894773,Fibroblast Growth Factor 4 (FGF-4) (pg/mL)
0.00040207518813802366,Agouti-Related Protein (AGRP) (pg/mL)
0.00038649087217316433,Eotaxin-3 (pg/mL)
0.00034698525731196466,Matrix Metalloproteinase-2 (MMP-2) (ng/mL)
0.0003253434614964388,Interleukin-3 (IL-3) (ng/mL)
0.00032101338502112104,Ciliary Neurotrophic Factor (CNTF) (pg/mL)
0.00032040732867255335,Vitronectin (ug/ml)
0.0003071964755059844,Myeloid Progenitor Inhibitory Factor 1 ( (ng/mL)
0.0002034472882513193,Pregnancy-Associated Plasma Protein A (P (mIU/mL)
0.00019726085603620277,Macrophage Colony-Stimulating Factor 1 ( (ng/mL)
0.00017328813275882895,Calcitonin (pg/mL)
0.00014849140448084676,Alpha-1-Microglobulin (A1Micro) (ug/ml)
9.852282764307197e-05,FASLG Receptor (FAS) (ng/mL)
7.351870124046813e-05,Vitamin K-Dependent Protein S (VKDPS) (ug/ml)
6.214949587032309e-05,Complement C3 (C3) (mg/mL)
2.8714494067448564e-05,Alpha-2-Macroglobulin (A2Macro) (mg/mL)
