,mean,std
Cancer Antigen 19-9 (CA-19-9) (U/mL),1.1486440178571429,0.4719644105483505
Calcitonin (pg/mL),1.0462248214285712,0.2366895514655026
CD 40 antigen (CD40) (ng/mL),-0.04087348214285714,0.16551275800535808
CD40 Ligand (CD40-L) (ng/mL),-0.7522271428571426,0.4741941150333941
CD5 (CD5L) (ng/ml),3.621651785714285,0.14717912508792597
Carcinoembryonic Antigen (CEA) (ng/mL),0.38478714285714294,0.275481023372954
Chromogranin-A (CgA) (ng/mL),2.746670982142857,0.4631314887657867
Creatine Kinase-MB (CK-MB) (ng/mL),-0.36430125000000013,0.27040959849602936
Clusterin (CLU) (ug/ml),2.4940315178571426,0.07431134634073487
Ciliary Neurotrophic Factor (CNTF) (pg/mL),1.7516848214285703,0.3665790448171675
Complement Factor H (ug/ml),3816.3928571428573,1194.496722829084
Cortisol (Cortisol) (ng/ml),2.198428928571428,0.14083983503958258
C-peptide (ng/ml),0.5047525892857141,0.20337571814519317
C-Reactive Protein (CRP) (ug/mL),0.34473169642857154,0.5766068119797236
Cystatin-C (ng/ml),3.227083125000001,0.11825657373900501
Epidermal Growth Factor (EGF) (pg/mL),1.3384940178571434,0.5287670840252597
Epidermal Growth Factor Receptor (EGFR) (ng/mL),4.302678571428571,0.9422476311753714
Epithelial-Derived Neutrophil-Activating (ng/mL),-0.2424990178571428,0.4278933737351096
Eotaxin-1 (pg/mL),1.9131756250000007,0.26559755407257724
Eotaxin-3 (pg/mL),2.6777190178571426,0.2863730012815289
E-Selectin (ng/mL),8.208928571428576,4.804250249864224
Fatty Acid-Binding Protein- heart  (FABP (ng/mL),0.7863908928571431,0.36541017297621986
Factor VII (ng/mL),2.7869716964285725,0.19198912549857824
FASLG Receptor (FAS) (ng/mL),1.143721785714286,0.13300420387052786
Fas Ligand (FasL) (pg/mL),1.8036638392857136,0.32065814953826954
Fetuin-A (ug/ml),3.0252785714285717,0.0910933890843772
Fibroblast Growth Factor 4 (FGF-4) (pg/mL),2.464904642857142,0.3958180592480569
Fibrinogen (mg/mL),6.8324732142857085,2.080971970406715
Ferritin (FRTN) (ng/mL),2.0437191071428567,0.4006706925512095
Follicle-Stimulating Hormone (FSH) (mIU/mL),1.0794541071428574,0.4174755562258017
Growth Hormone (GH) (ng/mL),-0.050089910714285715,0.6041640319915148
Growth-Regulated alpha protein (GRO-alph (pg/mL),2.6230816071428578,0.3003382095060263
Glutathione S-Transferase alpha (GST-alp (ng/ml),1.055985357142857,0.4278154534416386
Haptoglobin (mg/mL),0.23360151785714295,0.521741448248266
Heparin-Binding EGF-Like Growth Factor ( (pg/mL),1.960083214285714,0.3083055559434688
Chemokine CC-4 (HCC-4) (ng/mL),0.7813095535714288,0.25825089718720656
Hepatocyte Growth Factor (HGF) (ng/mL),0.7037441071428576,0.14355874913515262
T Lymphocyte-Secreted Protein I-309 (I-3 (pg/mL),2.4140677678571434,0.49860717973587365
Intercellular Adhesion Molecule 1 (ICAM- (ng/mL),2.0829449999999996,0.15299315961862509
Immunoglobulin A (IgA) (mg/mL),0.6385385714285715,0.25625547285338157
Immunoglobulin E (IgE) (ng/mL),1.9184995535714287,0.6647008494518126
Insulin-like Growth Factor-Binding Prote (ng/mL),2.036216517857143,0.2369414927277486
Immunoglobulin M (IGM) (mg/mL),0.3064654464285714,0.3252166632004306
Interleukin-13 (IL-13) (pg/mL),1.5529417857142855,0.21746111565935075
Interleukin-16 (IL-16) (pg/mL),2.607008214285716,0.16538279070582693
Interleukin-18 (IL-18) (pg/mL),2.4862099107142863,0.18497631289552832
Interleukin-3 (IL-3) (ng/mL),-1.6757155357142854,0.27660271776898354
Interleukin-6 receptor (IL-6r) (ng/mL),1.4767243750000003,0.14075968719183984
Interleukin-8 (IL-8) (pg/mL),1.06801875,0.20630401432000678
Insulin (uIU/mL),0.43980785714285725,0.32915065965621815
Interferon gamma Induced Protein 10 (IP- (pg/ml),2.7054491071428575,0.1975680366904478
Kidney Injury Molecule-1  (KIM-1) (ng/ml),-0.7534995535714286,0.3149808720072213
Leptin (ng/mL),0.9682675892857144,0.45136834305892315
Luteinizing Hormone  (LH) (mIU/mL),0.6660085714285716,0.3930445867627825
Apolipoprotein(a) (Lp(a)) (ug/mL),2.3119158035714293,0.6295449730632898
Monocyte Chemotactic Protein 1 (MCP-1) (pg/mL),2.2046871428571433,0.20212825115774272
Monocyte Chemotactic Protein 2 (MCP-2) (pg/ml),1.5834354464285705,0.2147193324037382
Monocyte Chemotactic Protein 3 (MCP-3) (pg/mL),1.001236964285714,0.45381439708884935
Monocyte Chemotactic Protein 4 (MCP-4) (pg/ml),2.6153661607142857,0.15861550240201677
Macrophage Colony-Stimulating Factor 1 ( (ng/mL),-1.3998055357142858,0.13604293694787736
Macrophage-Derived Chemokine (MDC) (pg/mL),2.651568303571429,0.16997729228780117
Macrophage Migration Inhibitory Factor ( (ng/mL),-0.4438825892857143,0.2579925331859852
Monokine Induced by Gamma Interferon (MI (pg/ml),3.693126160714286,0.27341844011850924
Macrophage Inflammatory Protein-1 alpha (pg/mL),2.2786018749999997,0.1178559082484426
Macrophage Inflammatory Protein-1 beta ( (pg/mL),2.2243986607142854,0.2582789739674634
Macrophage Inflammatory Protein-3 alpha (pg/ml),1.8711581250000004,0.2798947648076379
Matrix Metalloproteinase-1 (MMP-1) (ng/ml),0.13358696428571423,0.31109532097291653
Matrix Metalloproteinase-10 (MMP-10) (ng/ml),-1.2524025,0.30140882193997454
Matrix Metalloproteinase-2 (MMP-2) (ng/mL),3.5401835714285714,0.49363351675753264
Matrix Metalloproteinase-7 (MMP-7) (ng/ml),0.2782302678571428,0.3096080795075026
Matrix Metalloproteinase-9 (MMP-9) (ng/mL),2.129079553571429,0.31224374827630536
Matrix Metalloproteinase-9- total (MMP-9 (ng/ml),2.3535516964285716,0.23130331512364086
Myeloid Progenitor Inhibitory Factor 1 ( (ng/mL),0.22979357142857135,0.1676844497878187
Myeloperoxidase (MPO) (ng/mL),2.2780397321428576,0.3773512654609399
Myoglobin (ng/mL),1.4534654464285717,0.2568208317232192
Neutrophil Gelatinase-Associated Lipocal (ng/ml),2.536665535714287,0.1600517138546743
Neuronal Cell Adhesion Molecule (Nr-CAM) (ng/mL),0.35802508928571414,0.34654050708718637
Osteopontin (ng/ml),1.4257929464285712,0.22433013951907077
Plasminogen Activator Inhibitor 1 (PAI-1 (ng/mL),1.6288261607142862,0.26594232163474546
Prostatic Acid Phosphatase (PAP) (ng/mL),-0.6112749999999997,0.2819151600415651
Pregnancy-Associated Plasma Protein A (P (mIU/mL),-1.7083657142857143,0.3340188815715843
Pulmonary and Activation-Regulated Chemo (ng/mL),2.168522142857144,0.17442608634366763
Platelet-Derived Growth Factor BB (PDGF- (pg/ml),3.0325157142857146,0.5037974177691233
Placenta Growth Factor (PLGF) (pg/ml),35.88258928571428,15.956130327776885
Pancreatic Polypeptide (PPP) (pg/ml),2.335328035714285,0.3645278027974314
Prolactin (PRL) (ng/ml),0.8033620535714288,0.21659227373914475
Proinsulin- Intact (pM),0.7529417857142855,0.32709770836342206
Proinsulin- Total (pM),1.356526785714286,0.3215961414491485
Peptide YY (PYY) (pg/mL),2.122599642857144,0.3105000756812621
Receptor for advanced glycosylation end (ng/mL),0.6325790178571431,0.30939641845839544
T-Cell-Specific Protein RANTES (RANTES) (ng/mL),0.9573705357142858,0.38152631558097216
Resistin (ng/ml),0.5827669642857144,0.14056937632383087
Serum Amyloid P-Component (SAP) (ug/mL),1.3736163392857144,0.1270706898179228
Stem Cell Factor (SCF) (pg/mL),2.437392857142857,0.15834811359802012
Serum Glutamic Oxaloacetic Transaminase (ug/mL),3.743928571428573,2.298887845934491
Sex Hormone-Binding Globulin (SHBG) (nmol/L),1.7312789285714285,0.23095229875396914
Superoxide Dismutase 1- Soluble (SOD-1) (ng/mL),1.6064142857142858,0.2073648409551389
Sortilin (ng/mL),0.7769225892857142,0.12133173230612988
Thyroxine-Binding Globulin (TBG) (ug/mL),1.7866619642857138,0.08597933478761766
Thymus-Expressed Chemokine (TECK) (ng/mL),2.350680446428572,0.2275109843715437
Testosterone- Total (ng/ml),0.20401901785714288,0.43539420508287374
Trefoil Factor 3 (TFF3) (ug/ml),-0.6970422321428572,0.20082662547226215
Tamm-Horsfall Urinary Glycoprotein (THP) (ug/ml),-1.5178033035714285,0.2078356850212864
Thrombospondin-1 (ng/mL),3.320116339285716,0.46072396779122454
Tissue Inhibitor of Metalloproteinases 1 (ng/mL),2.0860125892857146,0.0924670502380263
Thrombomodulin (TM) (ng/ml),0.9620448214285714,0.12312586884301045
Tenascin-C (TN-C) (ng/mL),2.780495000000001,0.2200908739507306
Tumor Necrosis Factor alpha (TNF-alpha) (pg/mL),0.9967062500000001,0.2856911670933846
Tumor Necrosis Factor Receptor-Like 2 (T (ng/mL),0.9383132142857146,0.22988588828159243
Thrombopoietin (ng/mL),2.1323214285714287,0.9906335966339535
TNF-Related Apoptosis-Inducing Ligand Re (ng/mL),1.2717571428571426,0.1767950102095827
Serotransferrin (Transferrin) (mg/dl),3.429356160714286,0.07053544017841758
Thyroid-Stimulating Hormone  (TSH) (uIU/mL),0.20681187499999992,0.27742787234542676
Transthyretin (TTR) (mg/dl),2.5553308035714273,0.12906990762491233
Vascular Cell Adhesion Molecule-1 (VCAM- (ng/mL),2.9267283928571444,0.09670222104973797
Vascular Endothelial Growth Factor (VEGF (pg/mL),2.898900178571428,0.13347758578231078
Vitronectin (ug/ml),2.9612109821428567,0.06382546139629647
Vitamin K-Dependent Protein S (VKDPS) (ug/ml),1.293377946428572,0.09998036134313283
von Willebrand Factor (vWF) (ug/mL),1.7310007142857133,0.3399837913457987
MMSE,26.116071428571427,2.3200867322801626
