,aggR,pval,name
77,165.0,2.6779438644665507e-11,Ornithine
78,129.0,3.6774040443489246e-11,Thyroxine-Binding Globulin (TBG) (ug/mL)
79,19.0,4.5785293641670996e-11,Apolipoprotein C-III (Apo C-III) (ug/mL)
80,26.0,9.590354153368997e-11,B Lymphocyte Chemoattractant (BLC) (pg/ml)
81,166.0,1.63765425073689e-10,Phenylalanine
82,75.0,2.0414114915857046e-10,Interleukin-16 (IL-16) (pg/mL)
83,12.0,2.3943424477974523e-10,Angiopoietin-2 (ANG-2) (ng/mL)
84,37.0,6.079876940822772e-10,Chromogranin-A (CgA) (ng/mL)
85,170.0,7.572791409713528e-10,Tryptophan
86,41.0,8.254774109679118e-10,Complement Factor H (ug/ml)
87,168.0,1.0046559967555456e-09,Serine
88,35.0,1.1422651651937732e-09,CD5 (CD5L) (ng/ml)
89,20.0,1.171592330213043e-09,Apolipoprotein D (Apo D) (ug/ml)
90,50.0,1.3361201585627425e-09,Eotaxin-3 (pg/mL)
91,160.0,1.875097746025294e-09,Glutamic Acid
92,58.0,2.3683498503467987e-09,Fibrinogen (mg/mL)
93,161.0,3.2373628758478628e-09,Glycine
94,141.0,3.802906444474331e-09,TNF-Related Apoptosis-Inducing Ligand Re (ng/mL)
95,21.0,4.036714209285138e-09,Apolipoprotein E (Apo E) (ug/ml)
96,153.0,7.41114585573112e-09,PLASMA_NFL
97,81.0,7.781486859349425e-09,Interferon gamma Induced Protein 10 (IP- (pg/ml)
98,154.0,1.1462720878658944e-08,Alanine
99,119.0,1.3758675952398302e-08,Peptide YY (PYY) (pg/mL)
100,104.0,1.648350071039761e-08,Myeloperoxidase (MPO) (ng/mL)
101,87.0,2.5646703310021906e-08,Monocyte Chemotactic Protein 2 (MCP-2) (pg/ml)
102,159.0,1.2848928537213623e-07,Glutamine
103,130.0,3.2406612827953723e-07,Thymus-Expressed Chemokine (TECK) (ng/mL)
104,23.0,6.335686379311105e-07,AXL Receptor Tyrosine Kinase (AXL) (ng/mL)
105,32.0,1.0107439657046908e-06,Calcitonin (pg/mL)
106,169.0,1.0483416204062876e-06,Threonine
107,94.0,1.2022092396166451e-06,Macrophage Inflammatory Protein-1 alpha (pg/mL)
108,69.0,1.3602839903757947e-06,Intercellular Adhesion Molecule 1 (ICAM- (ng/mL)
109,156.0,1.9092999585304295e-06,Asparagine
110,83.0,1.923718244048232e-06,Leptin (ng/mL)
111,51.0,2.0899549243940993e-06,E-Selectin (ng/mL)
112,3.0,2.1278809591337114e-06,BMI
113,138.0,2.2899713844099716e-06,Tumor Necrosis Factor alpha (TNF-alpha) (pg/mL)
114,100.0,2.5589624875857563e-06,Matrix Metalloproteinase-7 (MMP-7) (ng/ml)
115,44.0,2.8905799686397776e-06,C-Reactive Protein (CRP) (ug/mL)
116,6.0,3.4938822062706145e-06,Alpha-1-Antichymotrypsin (AACT) (ug/ml)
117,102.0,4.041343699187894e-06,Matrix Metalloproteinase-9- total (MMP-9 (ng/ml)
118,47.0,4.919105338733813e-06,Epidermal Growth Factor Receptor (EGFR) (ng/mL)
119,5.0,5.854619810383344e-06,Alpha-2-Macroglobulin (A2Macro) (mg/mL)
120,11.0,6.7441500986577895e-06,Agouti-Related Protein (AGRP) (pg/mL)
121,7.0,7.497403602698389e-06,Alpha-1-Antitrypsin (AAT) (mg/mL)
122,63.0,9.387164411124084e-06,Glutathione S-Transferase alpha (GST-alp (ng/ml)
123,66.0,1.3340229957559956e-05,Chemokine CC-4 (HCC-4) (ng/mL)
124,95.0,2.4787977778649065e-05,Macrophage Inflammatory Protein-1 beta ( (pg/mL)
125,157.0,2.8138122751205184e-05,Aspartic Acid
126,15.0,2.9160891468883527e-05,Apolipoprotein A-II (Apo A-II) (ng/ml)
127,13.0,3.7633044494110447e-05,Angiotensinogen (ng/mL)
128,38.0,5.3177179905586606e-05,Creatine Kinase-MB (CK-MB) (ng/mL)
129,77.0,5.838439893423248e-05,Interleukin-3 (IL-3) (ng/mL)
130,68.0,6.17090615373768e-05,T Lymphocyte-Secreted Protein I-309 (I-3 (pg/mL)
131,61.0,7.622038056088787e-05,Growth Hormone (GH) (ng/mL)
132,97.0,7.645039551388525e-05,Matrix Metalloproteinase-1 (MMP-1) (ng/ml)
133,71.0,0.0001668229616246777,Immunoglobulin E (IgE) (ng/mL)
134,88.0,0.0003062229959183334,Monocyte Chemotactic Protein 3 (MCP-3) (pg/mL)
135,59.0,0.0003421091593087811,Ferritin (FRTN) (ng/mL)
136,31.0,0.00041683399411129635,Cancer Antigen 19-9 (CA-19-9) (U/mL)
137,137.0,0.0005154376641089581,Tenascin-C (TN-C) (ng/mL)
138,64.0,0.0009011506175698174,Haptoglobin (mg/mL)
139,155.0,0.0012409948746905,Arginine
140,101.0,0.0016513448362697907,Matrix Metalloproteinase-9 (MMP-9) (ng/mL)
141,174.0,0.0017124629752329735,Sarcosine
142,120.0,0.0018871386488334807,Receptor for advanced glycosylation end (ng/mL)
143,57.0,0.0020451008996814836,Fibroblast Growth Factor 4 (FGF-4) (pg/mL)
144,10.0,0.002261553210125843,Alpha-Fetoprotein (AFP) (ng/mL)
145,175.0,0.0029787011888536925,trans isomer of 4-hydroxyproline 
146,49.0,0.0034490961604769672,Eotaxin-1 (pg/mL)
147,149.0,0.0041012053568790004,von Willebrand Factor (vWF) (ug/mL)
148,42.0,0.004135743058468957,Cortisol (Cortisol) (ng/ml)
149,115.0,0.004392098354941044,Pancreatic Polypeptide (PPP) (pg/ml)
150,96.0,0.006354307850902826,Macrophage Inflammatory Protein-3 alpha (pg/ml)
151,85.0,0.006844568715138633,Apolipoprotein(a) (Lp(a)) (ug/mL)
152,82.0,0.0082633454728473,Kidney Injury Molecule-1  (KIM-1) (ng/ml)
153,2.0,0.010074553881320534,VSBPDIA
154,40.0,0.030345127557252164,Ciliary Neurotrophic Factor (CNTF) (pg/mL)
155,74.0,0.03725935652818776,Interleukin-13 (IL-13) (pg/mL)
156,29.0,0.043537987638609076,Betacellulin (BTC) (pg/mL)
157,116.0,0.06209198747884617,Prolactin (PRL) (ng/ml)
158,73.0,0.09791291192857356,Immunoglobulin M (IGM) (mg/mL)
159,114.0,0.1369436778247789,Placenta Growth Factor (PLGF) (pg/ml)
160,107.0,0.13964639260515965,Neuronal Cell Adhesion Molecule (Nr-CAM) (ng/mL)
161,53.0,0.14733570292036627,Factor VII (ng/mL)
162,86.0,0.25974636262466094,Monocyte Chemotactic Protein 1 (MCP-1) (pg/mL)
163,16.0,0.27165021977932363,Apolipoprotein A-IV (Apo A-IV) (ug/ml)
164,125.0,0.28559392568944614,Serum Glutamic Oxaloacetic Transaminase (ug/mL)
165,91.0,0.2878735748765172,Macrophage-Derived Chemokine (MDC) (pg/mL)
166,70.0,0.2961942311134543,Immunoglobulin A (IgA) (mg/mL)
167,99.0,0.44052920821859426,Matrix Metalloproteinase-2 (MMP-2) (ng/mL)
168,78.0,0.934842053891238,Interleukin-6 receptor (IL-6r) (ng/mL)
169,8.0,0.9807203020017669,Angiotensin-Converting Enzyme (ACE) (ng/ml)
170,36.0,0.9825243862413926,Carcinoembryonic Antigen (CEA) (ng/mL)
171,1.0,0.9924099472307724,VSBPSYS
174,143.0,1.0,Thyroid-Stimulating Hormone  (TSH) (uIU/mL)
172,27.0,1.0,Bone Morphogenetic Protein 6 (BMP-6) (ng/mL)
173,55.0,1.0,Fas Ligand (FasL) (pg/mL)
