Importance,Markers
0.0011188759283788415,Ferritin (FRTN) (ng/mL)
0.0011143610292864562,Proinsulin- Total (pM)
0.0011107717089847411,Interleukin-18 (IL-18) (pg/mL)
0.0011092192410303028,Brain Natriuretic Peptide  (BNP) (pg/ml)
0.00109284983756938,Pulmonary and Activation-Regulated Chemo (ng/mL)
0.0010891514597953188,Sortilin (ng/mL)
0.0010850917952874917,Insulin-like Growth Factor-Binding Prote (ng/mL)
0.0010782627365433324,Macrophage Inflammatory Protein-1 beta ( (pg/mL)
0.0010742845049159918,Proinsulin- Intact (pM)
0.00105073220491415,Apolipoprotein H (Apo H) (ug/mL)
0.0010442132265186144,Serotransferrin (Transferrin) (mg/dl)
0.0010153743988348695,Insulin (uIU/mL)
0.0010129672077045834,Myeloperoxidase (MPO) (ng/mL)
0.0010120793724508563,Neuronal Cell Adhesion Molecule (Nr-CAM) (ng/mL)
0.001011268223364672,C-peptide (ng/ml)
0.001003795114753534,Interleukin-16 (IL-16) (pg/mL)
0.0009896666037986163,Kidney Injury Molecule-1  (KIM-1) (ng/ml)
0.0009713177750100427,Osteopontin (ng/ml)
0.0009624653640517845,Fibrinogen (mg/mL)
0.0009612562282903884,Chemokine CC-4 (HCC-4) (ng/mL)
0.0009579787624955392,Apolipoprotein A-IV (Apo A-IV) (ug/ml)
0.0009573148276550063,Macrophage-Derived Chemokine (MDC) (pg/mL)
0.0009409689795070662,C-Reactive Protein (CRP) (ug/mL)
0.00092788200318661,Eotaxin-1 (pg/mL)
0.0009272173941663889,Testosterone- Total (ng/ml)
0.0009249797626898946,Thyroxine-Binding Globulin (TBG) (ug/mL)
0.0009227485213477802,Apolipoprotein D (Apo D) (ug/ml)
0.0009218261855456602,Alpha-Fetoprotein (AFP) (ng/mL)
0.0009163139332518461,Apolipoprotein A-I (Apo A-I) (mg/mL)
0.0009029004527266261,Cancer Antigen 19-9 (CA-19-9) (U/mL)
0.0009008839448208365,Angiopoietin-2 (ANG-2) (ng/mL)
0.0008953755170801791,Complement Factor H (ug/ml)
0.0008905255092373859,Follicle-Stimulating Hormone (FSH) (mIU/mL)
0.0008885860082173504,Thymus-Expressed Chemokine (TECK) (ng/mL)
0.0008705634789712393,Apolipoprotein A-II (Apo A-II) (ng/ml)
0.000869943102716855,Alpha-1-Antichymotrypsin (AACT) (ug/ml)
0.0008665462064945082,Apolipoprotein B (Apo B) (ug/ml)
0.0008650282580944533,Apolipoprotein E (Apo E) (ug/ml)
0.0008623133898431269,von Willebrand Factor (vWF) (ug/mL)
0.0008547502282116584,Serum Glutamic Oxaloacetic Transaminase (ug/mL)
0.000850308089321192,Receptor for advanced glycosylation end (ng/mL)
0.0008499550900075751,Growth Hormone (GH) (ng/mL)
0.0008211154782955604,Prolactin (PRL) (ng/ml)
0.0008151544049065376,Peptide YY (PYY) (pg/mL)
0.0008107481585399114,Interleukin-13 (IL-13) (pg/mL)
0.0008072147877227686,Macrophage Inflammatory Protein-3 alpha (pg/ml)
0.0008047965185072315,Tenascin-C (TN-C) (ng/mL)
0.0007935021723747727,Interleukin-6 receptor (IL-6r) (ng/mL)
0.0007880483993190241,Thyroid-Stimulating Hormone  (TSH) (uIU/mL)
0.0007872106676562002,Leptin (ng/mL)
0.0007832065092348023,Fetuin-A (ug/ml)
0.000776185019685953,Luteinizing Hormone  (LH) (mIU/mL)
0.0007548371393555265,Transthyretin (TTR) (mg/dl)
0.0007524368291972387,Matrix Metalloproteinase-10 (MMP-10) (ng/ml)
0.0007522628078007959,Carcinoembryonic Antigen (CEA) (ng/mL)
0.0007487893753503656,Clusterin (CLU) (ug/ml)
0.0007463670366284271,T Lymphocyte-Secreted Protein I-309 (I-3 (pg/mL)
0.0007414391389216534,Creatine Kinase-MB (CK-MB) (ng/mL)
0.0007409818722250576,E-Selectin (ng/mL)
0.000730617518507095,Cortisol (Cortisol) (ng/ml)
0.0007287764276791607,Angiotensin-Converting Enzyme (ACE) (ng/ml)
0.0007190618954210958,Apolipoprotein C-III (Apo C-III) (ug/mL)
0.0007178709534290398,Immunoglobulin A (IgA) (mg/mL)
0.0007130101314860415,Haptoglobin (mg/mL)
0.0007086200869330325,Tumor Necrosis Factor alpha (TNF-alpha) (pg/mL)
0.0007075905476873639,Angiotensinogen (ng/mL)
0.0007074458291688451,Fas Ligand (FasL) (pg/mL)
0.000690425015554162,Sex Hormone-Binding Globulin (SHBG) (nmol/L)
0.0006866047500081006,Matrix Metalloproteinase-9- total (MMP-9 (ng/ml)
0.0006839569042937785,Monocyte Chemotactic Protein 1 (MCP-1) (pg/mL)
0.0006780719421826848,Matrix Metalloproteinase-1 (MMP-1) (ng/ml)
0.0006746734971215438,Immunoglobulin M (IGM) (mg/mL)
0.0006646598548357046,Immunoglobulin E (IgE) (ng/mL)
0.0006425668135268446,Placenta Growth Factor (PLGF) (pg/ml)
0.0006393440468313484,B Lymphocyte Chemoattractant (BLC) (pg/ml)
0.000630096865396607,Intercellular Adhesion Molecule 1 (ICAM- (ng/mL)
0.0006297737712405654,Bone Morphogenetic Protein 6 (BMP-6) (ng/mL)
0.0006280048350571954,Monocyte Chemotactic Protein 4 (MCP-4) (pg/ml)
0.0006188414555098822,Macrophage Inflammatory Protein-1 alpha (pg/mL)
0.0006002573713942892,Apolipoprotein(a) (Lp(a)) (ug/mL)
0.0005779462816045929,Apolipoprotein C-I (Apo C-I) (ng/ml)
0.0005762767437568739,Pancreatic Polypeptide (PPP) (pg/ml)
0.0005756581362735676,Matrix Metalloproteinase-9 (MMP-9) (ng/mL)
0.0005639502869615566,Monocyte Chemotactic Protein 3 (MCP-3) (pg/mL)
0.0005380582349653034,Factor VII (ng/mL)
0.0004953989985017603,Fibroblast Growth Factor 4 (FGF-4) (pg/mL)
0.0004780024206712041,Betacellulin (BTC) (pg/mL)
0.0004483576865027473,Agouti-Related Protein (AGRP) (pg/mL)
0.0004229224092043569,Eotaxin-3 (pg/mL)
0.00036807408357161293,Interleukin-3 (IL-3) (ng/mL)
0.0003668931034669716,Matrix Metalloproteinase-2 (MMP-2) (ng/mL)
0.00036267126802101284,Vitronectin (ug/ml)
0.0003542700303180869,Myeloid Progenitor Inhibitory Factor 1 ( (ng/mL)
0.0003462252979570443,Ciliary Neurotrophic Factor (CNTF) (pg/mL)
0.00022805903147105866,Macrophage Colony-Stimulating Factor 1 ( (ng/mL)
0.00021969199290922667,Pregnancy-Associated Plasma Protein A (P (mIU/mL)
0.00019626759102345142,Calcitonin (pg/mL)
0.00017185277263017808,Alpha-1-Microglobulin (A1Micro) (ug/ml)
0.00010584550013242132,FASLG Receptor (FAS) (ng/mL)
8.452322675114336e-05,Vitamin K-Dependent Protein S (VKDPS) (ug/ml)
7.574204764434707e-05,Complement C3 (C3) (mg/mL)
3.319244725944002e-05,Alpha-2-Macroglobulin (A2Macro) (mg/mL)
